title,soldprice,solddate,bids,link
Apple iPhone 13 - 256GB - Blue (Unlocked),285.0,2024-09-02,14 bids,https://www.ebay.co.uk/itm/196592761615?_nkw=iphone+13&epid=6049292416&hash=item2dc5d77b0f%3Ag%3AqI8AAOSwIBdm0YYU&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKnR9P4zKAEJb8iCGtxPLh7NmT%2B6Po1LYn4jpXOnwCC1o3Mi%2FU1PhBiMCCtNsnz%2FAhDguJlKzobxdfpkQzpr9nedFiJHIDtmhJye61KHQwtVFFGzcibTHbbond8pZD7MfNAv%2BA3VIvWyZDSuB3GO9ph5j0mYtXxzgg1dP4z68PsODU%2FwZMCsQRmifWM2htFmbpznjU69rWXhAQZcpmXVaxMnSofJORjrzQTpP1QvGr7nKvy25ilJ5TzYDOXrd9GQZHogJ4PW3ERto%2BK24kM4qFRj%7Ctkp%3ABk9SR5Cu-J-2ZA&LH_Auction=1
Apple iPhone 13 Pro - 128GB - Graphite (Unlocked),340.0,2024-09-02,10 bids,https://www.ebay.co.uk/itm/176543846920?_nkw=iphone+13&epid=15049284865&hash=item291ad55208%3Ag%3AyfoAAOSwkJtmzDD4&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKkhIUT3AeiylqjezdriSUcIDnBNnilox9nKmeIPn8vSjCtl%2F5VpDA%2BKRRBaxpeGTaQbXM4HFLo8g0jPxsr5zYNSkXUbb7sZLLaGscRpaFG0PIg3HgQyQzaIpW0E7QTdNntBs3Zoi%2FSwY%2FTtkindND3SGoBR5GZrPa%2BKC4OE003mqrsYGg7EPvftpWeF61BJr%2F8WyPm9b7aVzNz%2B%2BYodhpLUnlFXknS083bBzngOX2Q%2FrSJE4eBCHBdLponlwOKKxVUzYT6YfCCxCu8yerlQTRkY%7Ctkp%3ABk9SR5Cu-J-2ZA&LH_Auction=1
Apple iPhone 12 mini - 64GB - Blue (Unlocked) A2399 (CDMA + GSM),143.0,2024-09-02,10 bids,https://www.ebay.co.uk/itm/196592523914?_nkw=iphone+13&epid=17041715540&hash=item2dc5d3da8a%3Ag%3AwJsAAOSwGWZm0Woa&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKm9tFJhjFMJhz22DvKSVoVZIG9VaRps%2FwDw2urJH%2FBuDCaqEjRUhvU33RqCECDkmi2OnAsVMBAvaMSoiESyTYbJaQn981rrJaYEWh8CWZlqR6zM1VbKzXuSuv8urmYRlLaLDHxhTAHScrwbn2LpbQFFMaWY4iTax3yZ74Oxi1vQkia9KYB4RWp7Sw6tfmg9K7ud6lOOc00nBxYAoiCmIkSkjZqiqmZcsXEPBFfr7F1xdA%3D%3D%7Ctkp%3ABk9SR5Cu-J-2ZA&LH_Auction=1
Apple iPhone 13 Pro Max - 128GB - Gold (Unlocked),74.19,2024-09-02,1 bid,https://www.ebay.co.uk/itm/286037142994?_nkw=iphone+13&epid=9049279808&hash=item4299246dd2%3Ag%3AsWoAAOSwVsFm0hmR&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKk2f5ej78PgvhG47UXNw3vN8JtQADSFrzyHlTaAbO%2FfLmm3u27AcYnIpxp5%2FTaDbyfLk5697plYt9V4qSwKmNWTz9CAkGQUH8POP1cNfKqYl%2FOwnfJxQjydm3Wf0%2BBUqw8MiTXM3TWP5Fv0yNnhOv56qOAcfkfgbf3qPyhKItXW1aST7NNJvMzEP4FiyAnq8TfXf4FsHTKnQvzHgOW8dtk%2BzsaFIfF0XLHlDWb%2B2pT2pA%3D%3D%7Ctkp%3ABk9SR5Cu-J-2ZA&LH_Auction=1
Apple iPhone 13 Pro Max - 128GB - Grey Colour- Unlocked - Read Description,322.0,2024-09-01,43 bids,https://www.ebay.co.uk/itm/156377523981?_nkw=iphone+13&epid=28049285645&hash=item2468d3a70d%3Ag%3AXIoAAOSwdrJmzkwS&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKla30XdlA539wIvWKIdO5bxmW87QjsXDlhXGO%2FNtfvxrsTzo8gDGi9x7ej3kK08IFcDGEsu9iXX7zijSDnzl3xEa1nyWf%2FA5iToszb1nEGjsrIlz8BssolbJ%2Fk3uM4MiI5NBH6Nr4O1jecpItRnYz9WwksgEKGTB%2BtX6gfkwy5TntRS2F0Yzc%2FGfzEfl6hZPOiRFljbXikUYYi7KaiKxGt90G92YXySsaSXWkxNOW6%2Fww%3D%3D%7Ctkp%3ABk9SR5Ku-J-2ZA&LH_Auction=1
Apple iPhone 13 Pro - 256GB - Silver (Unlocked),200.0,2024-09-01,1 bid,https://www.ebay.co.uk/itm/256616715641?_nkw=iphone+13&epid=3049291559&hash=item3bbf8c5579%3Ag%3AdeoAAOSwqptmszXA&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKnm8MB4ijNHIqo2xuDAUxP6%2BaYOgZDDxj%2BQdvooZIX2rLFzbBSQhwpGyyxTPZhSIfgPIlCmGUo113jOAZAQrbXVpwWj3Mlg3A7ZwbXUbzpqobVqQ6hrysg3Fbl%2F4E6mrSqJYl3uOlfsbfXY66lSSvnBInEHOOCV5sEBv8mIresmeIK7NtGwn3FgG9A5q138IAovpNVqP1tbDONlYniKDx7kywgzDJXzi3xcctJVx%2BIhXA%3D%3D%7Ctkp%3ABk9SR5Ku-J-2ZA&LH_Auction=1
Apple iPhone 13 Pro - 256GB - Sierra Blue (unlocked) in great condition with box,370.0,2024-09-01,22 bids,https://www.ebay.co.uk/itm/256618517103?_nkw=iphone+13&epid=7049287460&hash=item3bbfa7d26f%3Ag%3AMnAAAOSwDIlmzjQl&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKl0mDcSSVZCUxe%2BeUHQsGWFhmHP%2BEFrvg%2B9a2gMc2DXpGXUWI7RMdzhOwdyLXx%2FY8qAh2otngfeF16i2LcLNhAfB1db6dKue2YUzZ68pSDEhUSknapyRvNrZrcBvUmJv%2B1LYQg%2FlXs82r%2FUf3wH8N3vDJR%2FCfgf%2BkaDxOYntKXQsZGmsb2Zc4QLdVwf0gzCOCROK7GOoH%2FPtPlpsX6FJlS1kVGxULmEXYuVue9PL0zGDnPUr7G3ZWphcvmFqzIwyyhokSX0hjMWdb2cvgMrU4cC%7Ctkp%3ABk9SR5Ku-J-2ZA&LH_Auction=1
Apple iPhone 13 - 128GB - Pink (Unlocked),245.0,2024-09-01,26 bids,https://www.ebay.co.uk/itm/286029469562?_nkw=iphone+13&epid=15049284953&hash=item4298af577a%3Ag%3A08oAAOSwQFNmy4-D&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKnTgTDeYjkRr34X2yQUS%2F7fkg441nx8aEmGyL6eJb7KftPfK11KAtkil0DHfjnWxiLMMICrnLQ0HAb5TWLMephas9CwzDTFcn71%2B67S64KW70DDPpJtzuiqkRaIJ%2BCc4QITWdvRPbsnwCUTEKUqy9LL3dCpPKVpLfLrzObBJrxk77LsdaUlWWWtxSMnAkzi2i9rDPBsPtSDj%2BLKCHpuZjvavmdpeAfoGfJCnhioApnm7w%3D%3D%7Ctkp%3ABk9SR5Ku-J-2ZA&LH_Auction=1
Apple iPhone 13 Pro - 256GB-WHITE cracked Screen Was On SKY network,300.0,2024-09-01,7 bids,https://www.ebay.co.uk/itm/166936906589?_nkw=iphone+13&hash=item26de370b5d%3Ag%3ALBYAAOSwwuxmyjhB&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKk1iIWAFjcc0J7scNb%2BbvuaQbTH3hC40ZokwMQz589ZR04Iui7Pros4QfydS3341wgziZqtvt%2Bh7tLn7sphimsOX5gfiLRoFYshPnkjqL%2F6Hwn6RqGB90FDAapzLc0Ojz7TZ3TSbUGH5uovVNwe%2BeG5ahgITnvWDrKEOFMxZ2n9N4qcKreHutCEr9eewKzUKw4idvmjNeY6ELCVBxoKsdSfRgr%2B0HcO313uZa3d2QLovMoEGsNkuajgVYg0CUnDzKBggTkKR7b%2BB27yMAJUFToZ%7Ctkp%3ABk9SR5Ku-J-2ZA&LH_Auction=1
Apple iPhone 13 Pro - 128GB - Graphite (unlocked) in great condition with box,385.0,2024-09-01,36 bids,https://www.ebay.co.uk/itm/256618499661?_nkw=iphone+13&epid=15049284865&hash=item3bbfa78e4d%3Ag%3AjQkAAOSwNPxmzi30&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKmsQwmKgUccAvXFGv0WkUH6Wd1CevIVUCuEXHS5dYcKGl3E1U57tKx31NIVe3NGjFy0KNDZv2r5XSawEzo83CaVuAQOVG%2Ft8KZPIHGTKC0mlyngfwPtw7Iu6lBWVwgOQmPURhxJ%2BhcfUhmzsefsJ97tqmb4u%2BdcgDcZ3Y4iK5I3SHLd4%2B6nczQBBvysAcpdUKKWmLwkAUNYltS7ueDkG2K6n2B7e7BHXkkvjX7g95sDZw%3D%3D%7Ctkp%3ABk9SR5Ku-J-2ZA&LH_Auction=1
